 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1375,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436878,0.093,786.289,531,964,43.496,21.291,100.0,310,65535,0.2743228025520348,0.24605493863237873,False,Exp84_C3
1376,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436879,0.093,584.454,372,740,43.93,21.353,100.0,310,65535,0.021931712199460413,0.0005844535359438924,True,Exp84_C3
1377,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436876,0.093,698.062,321,979,46.748,21.198,100.0,310,65535,0.29773310195542585,0.277030976037405,False,Exp84_C3
1378,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436877,0.09,456.851,319,571,39.341,21.261,96.907,310,65535,0.8981425276647333,0.82583284628872,False,Exp84_C3
1379,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436882,0.093,686.784,337,1014,43.032,21.632,100.0,310,65535,0.33101359488697907,0.31443600233781416,False,Exp84_C3
1380,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436883,0.093,699.701,475,903,44.054,21.632,100.0,310,65535,0.3256316937891649,0.3103448275862069,False,Exp84_C3
1381,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436880,0.093,806.32,446,1037,45.819,21.353,100.0,310,65535,0.5170705947934023,0.5336060783167739,False,Exp84_C3
1382,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436881,0.093,1045.794,614,1366,46.19,21.477,100.0,310,65535,0.6989198809591832,0.7071887784921099,False,Exp84_C3
1383,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436886,0.064,400.418,310,491,41.377,21.857,69.072,310,65535,0.5409741213773542,0.5575686732904734,False,Exp84_C3
1384,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436887,0.093,420.567,315,569,45.757,21.942,100.0,310,65535,0.608126631549712,0.6253652834599649,False,Exp84_C3
